prodcatg,mode,detector,date,n,edge_med,full_med,row_struct,col_struct
CAL.R-ARC,FAST,4.B.Blue,2026-05-02,11,871.0,877.0,4.306,8.789
CAL.R-ARC,FAST,4.B.Blue,2026-06-30,9,867.0,876.0,5.998,12.69
CAL.R-ARC,FAST,4.B.Green,2026-04-07,10,799.0,808.0,7.628,8.345
CAL.R-ARC,FAST,4.B.Green,2026-05-02,11,795.0,803.0,6.378,6.892
CAL.R-ARC,FAST,4.B.Green,2026-06-30,9,792.0,803.0,8.958,9.976
CAL.R-ARC,FAST,4.B.Red,2026-04-07,10,1931.0,1943.5,33.845,509.322
CAL.R-ARC,FAST,4.B.Red,2026-05-02,11,1926.0,1937.0,28.556,432.237
CAL.R-ARC,FAST,4.B.Red,2026-06-30,9,1917.0,1931.0,40.895,605.253
CAL.R-ARC,SLOW,1.A.Green,2026-04-07,3,693.0,724.0,25.6,42.027
CAL.R-ARC,SLOW,1.A.Green,2026-05-02,3,692.0,721.0,23.99,39.032
CAL.R-ARC,SLOW,1.A.Green,2026-06-30,3,693.0,727.0,27.236,44.859
CAL.R-ARC,SLOW,1.A.Red,2026-04-07,3,1682.0,1740.0,245.339,1678.476
CAL.R-ARC,SLOW,1.A.Red,2026-05-02,3,1680.0,1734.0,236.154,1656.212
CAL.R-ARC,SLOW,1.A.Red,2026-06-30,3,1682.0,1746.0,276.498,1851.58
CAL.R-ARC,SLOW,1.B.Blue,2026-04-07,3,704.0,734.0,28.602,61.539
CAL.R-ARC,SLOW,1.B.Blue,2026-05-02,3,704.0,735.0,27.396,60.682
CAL.R-ARC,SLOW,1.B.Blue,2026-06-30,3,704.0,733.0,30.072,62.878
CAL.R-ARC,SLOW,1.B.Green,2026-04-07,3,661.0,726.0,41.543,65.268
CAL.R-ARC,SLOW,1.B.Green,2026-05-02,3,661.0,725.0,40.416,63.641
CAL.R-ARC,SLOW,1.B.Green,2026-06-30,3,661.0,726.0,43.234,66.017
CAL.R-ARC,SLOW,1.B.Red,2026-04-07,3,1714.0,1814.0,382.135,3310.963
CAL.R-ARC,SLOW,1.B.Red,2026-05-02,3,1714.0,1812.0,375.512,3268.429
CAL.R-ARC,SLOW,1.B.Red,2026-06-30,3,1715.0,1819.0,391.191,3371.898
CAL.R-ARC,SLOW,2.A.Blue,2026-04-07,3,551.0,583.0,34.706,67.813
CAL.R-ARC,SLOW,2.A.Blue,2026-05-02,3,551.0,579.0,33.13,63.337
CAL.R-ARC,SLOW,2.A.Blue,2026-06-30,3,550.0,586.0,35.986,71.703
CAL.R-ARC,SLOW,2.A.Green,2026-04-07,3,637.0,682.0,39.349,51.9
CAL.R-ARC,SLOW,2.A.Green,2026-05-02,3,637.0,677.0,37.395,48.639
CAL.R-ARC,SLOW,2.A.Green,2026-06-30,3,637.0,686.0,40.155,55.194
CAL.R-ARC,SLOW,2.A.Red,2026-04-07,3,1613.0,1693.0,537.581,2745.391
CAL.R-ARC,SLOW,2.A.Red,2026-05-02,3,1612.0,1686.0,512.839,2618.606
CAL.R-ARC,SLOW,2.A.Red,2026-06-30,3,1616.0,1702.0,558.051,2870.439
CAL.R-ARC,SLOW,2.B.Blue,2026-04-07,3,504.0,523.0,33.605,60.847
CAL.R-ARC,SLOW,2.B.Blue,2026-05-02,3,504.0,523.0,32.658,59.662
CAL.R-ARC,SLOW,2.B.Blue,2026-06-30,3,504.0,523.0,34.574,62.659
CAL.R-ARC,SLOW,2.B.Green,2026-04-07,3,632.0,691.0,50.012,61.522
CAL.R-ARC,SLOW,2.B.Green,2026-05-02,3,631.0,690.0,48.917,59.764
CAL.R-ARC,SLOW,2.B.Green,2026-06-30,3,631.0,690.0,51.836,62.686
CAL.R-ARC,SLOW,2.B.Red,2026-04-07,3,1595.0,1690.0,565.785,3110.919
CAL.R-ARC,SLOW,2.B.Red,2026-05-02,3,1594.0,1687.0,554.303,3047.267
CAL.R-ARC,SLOW,2.B.Red,2026-06-30,3,1595.0,1692.0,574.514,3168.953
CAL.R-ARC,SLOW,3.A.Blue,2026-04-07,3,495.0,516.0,1435.157,63.121
CAL.R-ARC,SLOW,3.A.Blue,2026-05-02,3,495.0,513.0,1435.23,59.573
CAL.R-ARC,SLOW,3.A.Blue,2026-06-30,3,495.0,518.0,1435.093,66.34
CAL.R-ARC,SLOW,3.A.Green,2026-04-07,3,694.0,725.0,43.705,49.192
CAL.R-ARC,SLOW,3.A.Green,2026-05-02,3,695.0,723.0,41.956,46.585
CAL.R-ARC,SLOW,3.A.Green,2026-06-30,3,694.0,728.0,45.932,51.921
CAL.R-ARC,SLOW,3.A.Red,2026-04-07,3,1710.0,1782.0,367.344,1969.423
CAL.R-ARC,SLOW,3.A.Red,2026-05-02,3,1710.0,1780.0,351.053,1898.351
CAL.R-ARC,SLOW,3.A.Red,2026-06-30,3,1713.0,1790.0,385.394,2052.539
CAL.R-ARC,SLOW,3.B.Blue,2026-04-07,3,836.0,882.0,42.906,86.174
CAL.R-ARC,SLOW,3.B.Blue,2026-05-02,3,835.0,876.0,42.862,82.927
CAL.R-ARC,SLOW,3.B.Blue,2026-06-30,3,836.0,883.0,44.092,88.657
CAL.R-ARC,SLOW,3.B.Green,2026-04-07,3,676.0,724.0,49.915,69.083
CAL.R-ARC,SLOW,3.B.Green,2026-05-02,3,676.0,721.0,49.164,66.683
CAL.R-ARC,SLOW,3.B.Green,2026-06-30,3,678.0,728.0,51.101,71.1
CAL.R-ARC,SLOW,3.B.Red,2026-04-07,3,1654.0,1756.0,393.148,3204.916
CAL.R-ARC,SLOW,3.B.Red,2026-05-02,3,1654.0,1752.0,381.956,3137.431
CAL.R-ARC,SLOW,3.B.Red,2026-06-30,3,1656.0,1761.0,405.121,3274.527
CAL.R-ARC,SLOW,4.A.Green,2026-04-07,3,300.0,343.0,30.266,58.415
CAL.R-ARC,SLOW,4.A.Green,2026-05-02,3,300.0,340.0,29.115,55.853
CAL.R-ARC,SLOW,4.A.Green,2026-06-30,3,302.0,348.0,31.67,61.393
CAL.R-ARC,SLOW,4.A.Red,2026-04-07,3,1567.0,1647.0,603.348,2560.86
CAL.R-ARC,SLOW,4.A.Red,2026-05-02,3,1566.0,1643.0,582.303,2476.849
CAL.R-ARC,SLOW,4.A.Red,2026-06-30,3,1567.0,1652.0,632.781,2668.754
CAL.R-ARC,SLOW,4.B.Blue,2026-04-07,3,678.0,713.0,39.641,83.677
CAL.R-ARC,SLOW,4.B.Blue,2026-05-02,3,678.0,710.0,38.594,80.449
CAL.R-ARC,SLOW,4.B.Blue,2026-06-30,3,678.0,715.0,40.709,86.969
CAL.R-ARC,SLOW,4.B.Green,2026-04-07,3,669.0,712.0,59.542,66.696
CAL.R-ARC,SLOW,4.B.Green,2026-05-02,3,669.0,710.0,57.244,64.052
CAL.R-ARC,SLOW,4.B.Green,2026-06-30,3,669.0,715.0,60.929,69.138
CAL.R-ARC,SLOW,4.B.Red,2026-04-07,3,1749.0,1827.0,296.915,2312.683
CAL.R-ARC,SLOW,4.B.Red,2026-05-02,3,1748.0,1824.0,289.559,2248.152
CAL.R-ARC,SLOW,4.B.Red,2026-06-30,3,1749.0,1831.0,308.132,2389.723
CAL.R-BIA,FAST,1.A.Green,2026-04-07,13,877.0,878.0,0.996,0.359
CAL.R-BIA,FAST,1.A.Green,2026-05-02,1,863.0,864.0,0.893,0.351
CAL.R-BIA,FAST,1.A.Green,2026-06-30,11,880.0,881.0,0.989,0.371
CAL.R-BIA,FAST,1.A.Red,2026-04-07,13,1754.0,1754.0,0.277,0.463
CAL.R-BIA,FAST,1.A.Red,2026-05-02,1,1755.0,1754.0,0.312,0.474
